approved_bal,sex,education,marriage,age,status,balance,payment,utilization,default
20000,2,2,1,24,2,3913,0,0.19565,1
120000,2,2,2,26,0,2682,0,0.02235,1
90000,2,2,2,34,0,29239,1518,0.32487777777777777,0
50000,2,2,1,37,0,46990,2000,0.9398,0
50000,1,2,1,57,0,8617,2000,0.17234,0
50000,1,1,2,37,0,64400,2500,1.288,0
500000,1,1,2,29,0,367965,55000,0.73593,0
100000,2,2,2,23,0,11876,380,0.11876,0
140000,2,3,1,28,0,11285,3329,0.08060714285714286,0
20000,1,3,2,35,0,0,0,0.0,0
200000,2,3,2,34,0,11073,2306,0.055365,0
260000,2,1,2,51,0,12261,21818,0.04715769230769231,0
630000,2,2,2,41,0,12137,1000,0.019265079365079363,0
70000,1,2,2,30,1,65802,3200,0.9400285714285714,1
250000,1,1,2,29,0,70887,3000,0.283548,0
50000,2,3,3,23,1,50614,0,1.01228,0
20000,1,1,2,24,0,15376,3200,0.7688,1
320000,1,1,1,49,0,253286,10358,0.79151875,0
360000,2,1,1,49,1,0,0,0.0,0
180000,2,1,2,29,1,0,0,0.0,0
130000,2,3,2,39,0,38358,3000,0.2950615384615385,0
120000,2,2,1,39,0,316,316,0.0026333333333333334,1
70000,2,2,2,26,2,41087,2007,0.5869571428571428,1
450000,2,1,1,40,0,5512,19428,0.012248888888888889,1
90000,1,1,2,23,0,4744,5757,0.05271111111111111,0
50000,1,3,2,23,0,47620,1973,0.9524,0
60000,1,1,2,27,1,-109,0,-0.0018166666666666667,1
50000,2,3,2,30,0,22541,1300,0.45082,0
50000,2,3,1,47,0,650,3415,0.013,0
50000,1,1,2,26,0,15329,1500,0.30658,0
230000,2,1,2,27,0,16646,17270,0.07237391304347826,0
50000,1,2,2,33,2,30518,1718,0.61036,1
100000,1,1,2,32,0,93036,3023,0.93036,0
500000,2,2,1,54,0,10929,4152,0.021858,0
500000,1,1,1,58,0,13709,5006,0.027418,0
160000,1,1,2,30,0,30265,131,0.18915625,0
280000,1,2,1,40,0,186503,8026,0.6660821428571428,0
60000,2,2,2,22,0,15054,1500,0.2509,0
280000,1,1,2,31,0,498,9075,0.0017785714285714286,0
360000,1,1,2,33,0,218668,10000,0.6074111111111111,0
70000,2,1,2,25,0,67521,3000,0.9645857142857143,0
10000,1,2,2,22,0,1877,1500,0.1877,0
140000,2,2,1,37,0,59504,3000,0.4250285714285714,0
40000,2,1,2,30,0,18927,3000,0.473175,0
20000,2,1,2,22,0,14028,3000,0.7014,1
380000,1,2,2,32,0,22401,21540,0.05895,0
20000,1,1,2,24,0,17447,1318,0.87235,0
70000,1,3,2,42,1,37042,0,0.5291714285714286,1
100000,2,3,3,43,0,61559,2000,0.61559,0
310000,2,2,1,49,0,13465,7875,0.04343548387096774,0
180000,2,1,2,25,1,41402,1300,0.2300111111111111,0
150000,2,1,2,29,2,46224,1600,0.30816,0
500000,2,1,1,45,0,1905,3640,0.00381,0
180000,2,3,1,34,0,16386,8500,0.09103333333333333,0
180000,2,2,1,34,0,175886,8083,0.9771444444444445,0
200000,2,1,2,34,0,1587,0,0.007935,0
400000,2,2,1,29,0,400134,17000,1.000335,0
500000,2,3,1,28,0,22848,1516,0.045696,1
70000,1,2,1,39,0,70800,4025,1.0114285714285713,0
50000,1,1,2,29,2,24987,0,0.49974,1
50000,2,2,1,46,0,28718,1000,0.57436,1
130000,2,2,1,51,0,99,0,0.0007615384615384615,0
200000,1,1,1,57,0,152519,0,0.762595,1
10000,1,2,1,56,2,2097,2300,0.2097,1
210000,2,1,2,30,2,300,300,0.0014285714285714286,0
130000,2,3,2,29,1,-190,0,-0.0014615384615384616,0
80000,1,1,2,31,0,780,0,0.00975,0
320000,1,2,2,29,2,58267,2500,0.182084375,1
200000,2,2,1,32,0,9076,5818,0.04538,0
290000,2,1,2,37,1,0,0,0.0,0
340000,1,1,2,32,0,3048,5713,0.00896470588235294,0
20000,1,2,2,24,0,14619,2850,0.73095,0
50000,1,3,2,25,0,42838,1759,0.85676,0
300000,2,1,1,45,0,291,291,0.00097,0
30000,2,2,2,22,0,28387,1686,0.9462333333333334,1
240000,2,2,2,44,1,0,0,0.0,1
470000,2,3,3,33,0,165254,6400,0.35160425531914896,0
360000,2,1,2,26,0,23411,4796,0.06503055555555555,0
60000,1,3,2,30,0,26324,1576,0.4387333333333333,1
400000,2,2,1,44,0,131595,10700,0.3289875,0
50000,2,3,2,49,0,48909,1676,0.97818,0
